Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,Graph
STASIS EURO,$1.01,-0.2%,-0.8%,1.6%,"$78,703.38","$124,850,798",https://www.coingecko.com/coins/5164/sparkline
Synapse,$0.652241,-0.4%,-3.0%,-1.4%,"$849,750","$123,914,103",https://www.coingecko.com/coins/18024/sparkline
SXP,$0.245233,0.1%,2.4%,2.7%,"$15,012,851","$123,854,760",https://www.coingecko.com/coins/9368/sparkline
DigiByte,$0.007746379695,0.2%,4.6%,9.6%,"$1,538,170","$122,447,498",https://www.coingecko.com/coins/63/sparkline
Dejitaru Tsuka,$0.118774,-0.5%,3.1%,30.8%,"$2,154,348","$118,783,728",https://www.coingecko.com/coins/26405/sparkline
Lisk,$0.813462,0.1%,-0.8%,0.0%,"$1,339,413","$117,815,002",https://www.coingecko.com/coins/385/sparkline
UMA,$1.69,-0.5%,0.2%,0.6%,"$7,300,455","$117,356,470",https://www.coingecko.com/coins/10951/sparkline
Gains Network,$3.98,0.2%,0.1%,6.4%,"$1,178,671","$116,404,764",https://www.coingecko.com/coins/19737/sparkline
JUNO,$1.81,-0.0%,-1.3%,-16.0%,"$628,079","$116,266,976",https://www.coingecko.com/coins/19249/sparkline
REN,$0.116069,-0.4%,-7.5%,49.4%,"$51,516,988","$115,864,983",https://www.coingecko.com/coins/3139/sparkline
Songbird,$0.013157021464,-0.7%,-1.8%,6.2%,"$896,096","$115,595,899",https://www.coingecko.com/coins/18663/sparkline
